dicid,enum_name,enum_type,text,value,sort_id,status,system_id
1,伤损程度,defectsExtent,↑△,1,1,0,NULL
2,伤损程度,defectsExtent,↓△,2,2,0,NULL
3,伤损程度,defectsExtent,←△→,3,3,0,NULL
4,伤损程度,defectsExtent,↑△△,4,4,0,NULL
5,伤损程度,defectsExtent,↓△△,5,5,0,NULL
6,伤损程度,defectsExtent,←△△→,6,6,0,NULL
7,伤损程度,defectsExtent,↑△△△,7,7,0,NULL
8,伤损程度,defectsExtent,↓△△△,8,8,0,NULL
9,伤损程度,defectsExtent,←△△△→,9,9,0,NULL
10,伤损程度,defectsExtent,折断,10,10,0,NULL
22,处置状态,dealStatus,已处理,1,1,0,NULL
23,处置状态,dealStatus,未处理,-1,2,0,NULL
24,删除状态,delStatus,正常,1,1,0,NULL
25,删除状态,delStatus,已删除,-1,2,0,NULL
26,伤损位置,damagePosition,轨头,1,1,0,NULL
27,伤损位置,damagePosition,轨腰,2,2,0,NULL
28,伤损位置,damagePosition,轨底,3,3,0,NULL
29,伤损位置,damagePosition,螺孔,4,4,0,NULL
30,轨型,trackType,P75,1,1,0,NULL
31,轨型,trackType,P43,4,4,0,NULL
32,轨型,trackType,P50,3,3,0,NULL
33,轨型,trackType,P60,2,2,0,NULL
34,轨枕,tieCategory,土枕,1,1,0,NULL
35,轨枕,tieCategory,混疑土枕,2,2,0,NULL
36,轨枕,tieCategory,其他,3,3,0,NULL
37,线别,lineCategory,正线,1,1,0,NULL
38,线别,lineCategory,到发线,2,2,0,NULL
39,线别,lineCategory,其他站线,3,3,0,NULL
40,伤损类型,damageType,横向裂纹,1,1,0,NULL
41,伤损类型,damageType,螺孔裂纹,2,2,0,NULL
42,伤损类型,damageType,轨端裂纹,3,3,0,NULL
43,伤损类型,damageType,剥离掉块,4,4,0,NULL
44,伤损类型,damageType,轨面擦伤,5,5,0,NULL
45,伤损类型,damageType,水平裂纹,6,6,0,NULL
46,伤损类型,damageType,其他伤损,7,7,0,NULL
47,伤损类型,damageType,灰斑,8,8,0,NULL
48,伤损类型,damageType,光斑,9,9,0,NULL
49,伤损类型,damageType,裂纹,10,10,0,NULL
50,伤损类型,damageType,气孔,11,11,0,NULL
51,伤损类型,damageType,夹渣,12,12,0,NULL
52,伤损类型,damageType,未焊合,13,13,0,NULL
53,行别,direction,上行,1,1,0,NULL
54,行别,direction,下行,2,2,0,NULL
55,行别,direction,单线,3,3,0,NULL
56,行别,direction,三线,4,4,0,NULL
57,行别,direction,四线,5,5,0,NULL
58,行别,direction,五线,6,6,0,NULL
59,行别,direction,专用线,7,7,0,NULL
60,设备名称,deviceName,钢轨,1,1,0,NULL
61,设备名称,deviceName,道岔,3,3,0,NULL
62,设备名称,deviceName,焊缝,2,2,0,NULL
63,设备类型,deviceType,P75,101,1,0,NULL
64,设备类型,deviceType,P60,102,2,0,NULL
65,设备类型,deviceType,P50,103,3,0,NULL
66,设备类型,deviceType,P43,104,4,0,NULL
67,设备类型,deviceType,可动心岔,201,5,0,NULL
68,设备类型,deviceType,合金钢岔,202,6,0,NULL
69,设备类型,deviceType,高锰钢岔,203,7,0,NULL
70,设备类型,deviceType,铝热焊,301,8,0,NULL
71,设备类型,deviceType,气压焊,302,9,0,NULL
72,设备类型,deviceType,厂闪光焊,303,10,0,NULL
73,设备类型,deviceType,现闪光焊,304,11,0,NULL
74,设备类型,deviceType,电弧焊,305,12,0,NULL
78,焊缝类型,weldingType,铝热焊,1,1,0,NULL
79,焊缝类型,weldingType,气压焊,2,2,0,NULL
80,焊缝类型,weldingType,厂闪光焊,3,3,0,NULL
81,焊缝类型,weldingType,现闪光焊,4,4,0,NULL
82,焊缝类型,weldingType,电弧焊,5,5,0,NULL
83,辙叉构造,frogStructure,可动心岔,1,1,0,NULL
84,辙叉构造,frogStructure,合金钢岔,2,2,0,NULL
85,辙叉构造,frogStructure,高锰钢岔,3,3,0,NULL
86,线路性质,lineNature,普速,1,1,0,NULL
87,线路性质,lineNature,高铁,2,2,0,NULL
88,线路等级,lineGrade,普速I,1,1,0,NULL
89,线路等级,lineGrade,普速II,2,2,0,NULL
90,线路等级,lineGrade,普速III,3,3,0,NULL
91,线路等级,lineGrade,高铁250km/H,4,4,0,NULL
92,线路等级,lineGrade,高铁300Km/H,5,5,0,NULL
93,线路等级,lineGrade,高铁350Km/H,6,6,0,NULL
94,线路等级,lineGrade,其他,7,7,0,NULL
95,正线数目,lineNum,单线,1,1,0,NULL
96,正线数目,lineNum,双线,2,2,0,NULL
97,正线数目,lineNum,三线,3,3,0,NULL
98,正线数目,lineNum,四线,4,4,0,NULL
99,正线数目,lineNum,五线,5,5,0,NULL
100,牵引类型,tractionType,电力,1,1,0,NULL
101,牵引类型,tractionType,内燃,2,2,0,NULL
102,牵引类型,tractionType,动力组,3,3,0,NULL
103,牵引类型,tractionType,蒸汽,4,4,0,NULL
104,牵引类型,tractionType,其他,5,5,0,NULL
105,道床类型,ballastType,沥青道床,1,1,0,NULL
106,道床类型,ballastType,碎石道床,2,2,0,NULL
107,道床类型,ballastType,混泥土道床,3,3,0,NULL
108,轨道类型,trackType1,有缝,1,1,0,NULL
109,轨道类型,trackType1,无缝,2,2,0,NULL
110,运营类型,operateType,客运共线,1,1,0,NULL
111,运营类型,operateType,客运专线,2,2,0,NULL
112,运营类型,operateType,货运专线,3,3,0,NULL
113,轨距类型,gaugeType,准轨,1,1,0,NULL
114,轨距类型,gaugeType,窄轨,2,2,0,NULL
115,轨距类型,gaugeType,宽轨,3,3,0,NULL
116,干支线别,lineBranches,干线,1,1,0,NULL
117,干支线别,lineBranches,支线,2,2,0,NULL
118,新旧伤,damageOld,新伤,1,1,0,NULL
119,新旧伤,damageOld,旧伤,2,2,0,NULL
120,长链标记,longChain,是,1,1,0,NULL
121,长链标记,longChain,否,2,2,0,NULL
122,股别,stockExchange,左股,1,1,0,NULL
123,股别,stockExchange,右股,2,2,0,NULL
124,处置方式,dealResult,加固,1,1,0,NULL
125,桥隧道口,bridgeTunnel,桥,1,1,0,NULL
126,桥隧道口,bridgeTunnel,隧,2,2,0,NULL
127,股道类型,thighTrackType,正线,1,1,0,NULL
128,股道类型,thighTrackType,到发线,2,2,0,NULL
129,股道类型,thighTrackType,其他线,3,3,0,NULL
130,股道类型,thighTrackType,牵出线,4,4,0,NULL
131,股道类型,thighTrackType,货物线,5,5,0,NULL
132,股道类型,thighTrackType,机车行,6,6,0,NULL
133,股道类型,thighTrackType,车辆站修线,7,7,0,NULL
134,股道类型,thighTrackType,驼峰禁溜线,8,8,0,NULL
135,股道类型,thighTrackType,安全线,9,9,0,NULL
136,伤损程度2,damageLevel,重伤,1,1,0,NULL
137,伤损程度2,damageLevel,轻发伤,2,2,0,NULL
138,伤损程度2,damageLevel,轻伤,3,3,0,NULL
139,股道类型,thighTrackType,避难线,10,10,0,NULL
140,股道类型,thighTrackType,岔线,11,11,0,NULL
141,股道类型,thighTrackType,调车线,12,12,0,NULL
142,股道类型,thighTrackType,段管线,13,13,0,NULL
143,股道类型,thighTrackType,专用线,14,14,0,NULL
144,车站类型,stationType,客运站,1,1,0,NULL
145,车站类型,stationType,货运站,2,2,0,NULL
146,车站类型,stationType,编组站,3,3,0,NULL
147,车站类型,stationType,客货站,4,4,0,NULL
148,车站类型,stationType,其他,5,5,0,NULL
149,技术作业别,jobType,编组站,1,1,0,NULL
150,技术作业别,jobType,区段站,2,2,0,NULL
151,技术作业别,jobType,线路站,3,3,0,NULL
152,技术作业别,jobType,中间站,4,4,0,NULL
153,车站等级,stationGrade,特等站,1,1,0,NULL
154,车站等级,stationGrade,一等站,2,2,0,NULL
155,车站等级,stationGrade,二等站,3,3,0,NULL
156,车站等级,stationGrade,三等站,4,4,0,NULL
157,车站等级,stationGrade,四等站,5,5,0,NULL
158,车站等级,stationGrade,五等站,6,6,0,NULL
159,车站等级,stationGrade,乘降所,7,7,0,NULL
160,车站等级,stationGrade,线路所,8,8,0,NULL
161,道岔股别,turnoutThignCategory,直股,1,1,0,NULL
162,道岔股别,turnoutThignCategory,曲股,2,2,0,NULL
163,焊缝类型,weldingType,闪光焊,1,1,0,NULL
164,焊缝类型,weldingType,气压焊,2,2,0,NULL
165,焊缝类型,weldingType,铝热焊,3,3,0,NULL
166,焊缝类型,weldingType,电弧焊,4,4,0,NULL
167,焊接方式,weldingWay,固定式(工厂焊),1,1,0,NULL
168,焊接方式,weldingWay,移动式(现场焊),2,2,0,NULL
169,是否加固焊接,reinforceWelding,是,1,1,0,NULL
170,是否加固焊缝,reinforceWelding,否,2,2,0,NULL
171,道岔位置,position,正线,1,1,0,NULL
172,道岔位置,position,到发站,2,2,0,NULL
173,道岔位置,position,其他线,3,3,0,NULL
174,道岔位置,position,牵出线,4,4,0,NULL
175,道岔位置,position,货物线,5,5,0,NULL
176,道岔位置,position,车辆站,6,6,0,NULL
177,道岔位置,position,驼峰迂回线,7,7,0,NULL
178,道岔位置,position,驼峰禁溜线,8,8,0,NULL
179,道岔位置,position,安全线,9,9,0,NULL
180,道岔位置,position,避难线,10,10,0,NULL
181,道岔位置,position,岔线,11,11,0,NULL
182,道岔位置,position,调车线,12,12,0,NULL
183,道岔位置,position,段管线,13,13,0,NULL
184,道岔种类,turnoutKind,双开道岔,1,1,0,NULL
185,道岔种类,turnoutKind,单开道岔,2,2,0,NULL
186,道岔种类,turnoutKind,复式交分道岔,3,3,0,NULL
187,道岔种类,turnoutKind,菱形交叉,4,4,0,NULL
188,道岔种类,turnoutKind,其他,5,5,0,NULL
189,轨型,trackType,其他,5,5,0,NULL
190,尖轨类型,switchRailType,普曲,1,1,0,NULL
191,尖轨类型,switchRailType,普直,2,2,0,NULL
192,尖轨类型,switchRailType,AT弹,3,3,0,NULL
193,尖轨类型,switchRailType,AT直,4,4,0,NULL
194,尖轨类型,switchRailType,AT,5,5,0,NULL
195,尖轨类型,switchRailType,其他,6,6,0,NULL
196,曲线方向,cuvreDirection,左,1,1,0,NULL
197,曲线方向,cuvreDirection,右,2,2,0,NULL
198,时间段类型,durationType,当年,1,1,0,NULL
199,时间段类型,durationType,当月,2,2,0,NULL
200,时间段类型,durationType,当周,3,3,0,NULL
201,期次类型,lastOrCurrent,本期,1,1,0,NULL
202,期次类型（5.1）,lastOrCurrent,上期,2,2,0,NULL
203,排序类型（5.2）,rankType,按线路,2,2,0,NULL
204,排序类型（5.2）,rankType,按单位,1,1,0,NULL
