"ADVERTISER_UID","TODAY_COST","TODAY_COUNT","TODAY_CONVERT_COST","TODAY_PROFIT","YESTERDAY_COST","YESTERDAY_CONVERT_COST","YESTERDAY_COUNT","YESTERDAY_PROFIT","LAST_WEEK_COST","LAST_WEEK_CONVERT_COST","LAST_WEEK_COUNT","LAST_WEEKY_PROFIT","YESTERDAY_COST_GROWTH","YESTERDAY_COST_GROWTH_RATE","YESTERDAY_COUNT_GROWTH","YESTERDAY_COUNT_GROWTH_RATE","YESTERDAY_CONVERT_COST_GROWTH","YESTERDAY_CONVERT_COST_GRATE","YESTERDAY_PROFIT_GROWTH","YESTERDAY_PROFIT_GROWTH_RATE","LAST_WEEK_COST_GROWTH","LAST_WEEK_COST_GROWTH_RATE","YESTERDAY_COUNT_GROWTH","LAST_WEEK_COUNT_GROWTH_RATE","LAST_WEEK_CONVERT_COST_GROWTH","LAST_WEEK_CONVERT_COST_G_RATE","LAST_WEEK_PROFIT_GROWTH","LAST_WEEK_PROFIT_GROWTH_RATE","PRINCIPAL"
"690","12.88","","0","","18.06","0","","","26.64","0","","","-5.18","-28.682%","","0%","0","0%","","0%","-13.76","-51.652%","","0%","0","0%","","0%","5"
"781","16.06","","0","","2.45","0","","","","","","","13.61","555.51%","","0%","0","0%","","0%","","0%","","0%","","0%","","0%","5"
"823","5.16","","0","","1.86","0","","","","","","","3.3","177.419%","","0%","0","0%","","0%","","0%","","0%","","0%","","0%","2"
"833","95.05","3","31.683","-29.75","0.07","0","","","","","","","94.98","135685.714%","","0%","31.683","0%","","0%","","0%","","0%","","0%","","0%","5"
"853","4.14","","0","","","","","","","","","","","0%","","0%","","0%","","0%","","0%","","0%","","0%","","0%","1"
"855","1.18","","0","","","","","","","","","","","0%","","0%","","0%","","0%","","0%","","0%","","0%","","0%","3"
"856","0.24","","0","","","","","","","","","","","0%","","0%","","0%","","0%","","0%","","0%","","0%","","0%","3"
"691","7.12","","0","","6","0","","","2.65","0","","","1.12","18.667%","","0%","0","0%","","0%","4.47","168.679%","","0%","0","0%","","0%","5"
"835","34.86","2","17.43","95.74","","","","","","","","","","0%","","0%","","0%","","0%","","0%","","0%","","0%","","0%","5"
"852","1.02","","0","","0.48","0","","","","","","","0.54","112.5%","","0%","0","0%","","0%","","0%","","0%","","0%","","0%","1"
"641","66.25","1","66.25","-66.25","59.3","0","0","-59.3","198.84","66.28","3","-198.84","6.95","11.72%","1","0%","66.25","0%","-6.95","11.72%","-132.59","-66.682%","-2","-66.667%","-0.03","-.045%","132.59","-66.682%","3"
"689","41.7","","0","","63.51","63.51","2","1.79","24.81","0","","","-21.81","-34.341%","","0%","-63.51","-100%","","0%","16.89","68.077%","","0%","0","0%","","0%","3"
"832","48.5","","0","","0","0","","","","","","","48.5","0%","","0%","0","0%","","0%","","0%","","0%","","0%","","0%","6"
"821","3441.26","117","29.666","-329.06","25.3","25.3","1","1.3","","","","","3415.96","13501.818%","116","11600%","4.366","17.257%","-330.36","-25412.308%","","0%","","0%","","0%","","0%","2"
"854","0.27","","0","","","","","","","","","","","0%","","0%","","0%","","0%","","0%","","0%","","0%","","0%","1"
"822","5.65","","0","","6.43","0","","","","","","","-0.78","-12.131%","","0%","0","0%","","0%","","0%","","0%","","0%","","0%","2"
"830","230.4","1","115.2","-230.4","21.43","0","","","","","","","208.97","975.128%","","0%","115.2","0%","","0%","","0%","","0%","","0%","","0%","6"
"831","319.29","7","45.613","-58.09","7.85","0","0","-7.85","","","","","311.44","3967.389%","7","0%","45.613","0%","-50.24","640%","","0%","","0%","","0%","","0%","6"
"834","3.64","","0","","","","","","","","","","","0%","","0%","","0%","","0%","","0%","","0%","","0%","","0%","5"
